source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0x0000000000000000000000000000000000000000,0xc5ba95d8d7a85b89b8496a736cca9d95d0450d8e,2.8 ETH|eth,2800000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x1cc009d93bb0e2d069e189c77a874041a6ce9003f6dca1397c91270f8d5d38a7,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1.68 ETH|eth,1680000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x6619e006a6e0be491bbfbb7c9d3428f96702ff45c823f61ba1c7f5eb770a20eb,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.14 ETH|eth,140000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x6619e006a6e0be491bbfbb7c9d3428f96702ff45c823f61ba1c7f5eb770a20eb,
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1 BNB|bsc,100000000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x6619e006a6e0be491bbfbb7c9d3428f96702ff45c823f61ba1c7f5eb770a20eb,
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.3 BNB|bsc,300000000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x6619e006a6e0be491bbfbb7c9d3428f96702ff45c823f61ba1c7f5eb770a20eb,
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1 BNB|bsc,100000000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x6619e006a6e0be491bbfbb7c9d3428f96702ff45c823f61ba1c7f5eb770a20eb,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,702.338318 USDC|eth,702338318,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x6619e006a6e0be491bbfbb7c9d3428f96702ff45c823f61ba1c7f5eb770a20eb,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,442.304109 USDC|eth,442304109,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x6619e006a6e0be491bbfbb7c9d3428f96702ff45c823f61ba1c7f5eb770a20eb,
BSC,0x0000000000000000000000000000000000000000,0x6b6311a94d5b65ff52498d68fabab61e004e4a97,0.477140670740231715 BNB|bsc,477140670740231715,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x5d69b06cdfccd9457804b4b7c3847062d7ff77c5586250b12c94f4eab0e8ec93,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x11af340398c8c8213d3780ef422b4a9a59765846,453.406156 USDC|eth,453406156,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x5b271247334d4ee25cba3f3e9e80c846a731025a34f20000c8cffd22a6f77663,
